ABIDE,Positiv,,Affil,,,,,,,,,,,
ABILITY,Positiv,,,,Strong,,,,,,,,Virtue,
ABLE,Positiv,,,,Strong,,,,,,,,Virtue,
ABOUND,Positiv,,,,,,,,,,,,,
ABSOLVE,Positiv,,,,,,,,,,,,,
ABSORBENT,Positiv,,,,,,,,,,,,,
ABSORPTION,Positiv,,Affil,,,,,,,,,,,
ABUNDANCE,Positiv,,,,Strong,,,,,,,,,
ABUNDANT,Positiv,,,,Strong,,,,,,,,,
ACCEDE,Positiv,,Affil,,,,,,,,,,,
ACCENTUATE,Positiv,,,,,,,,,,,,,
ACCEPT,Positiv,,,,,,,,,,,,,
ACCEPTABLE,Positiv,,,,,,,,,,,,Virtue,
ACCEPTANCE,Positiv,,Affil,,,,,,,,,,,
ACCESSIBLE,Positiv,,,,,,,,,,,,Virtue,
ACCESSION,Positiv,,,,Strong,,,,,,,,,
ACCLAIM,Positiv,,,,,,,,,,,,Virtue,
ACCLAMATION,Positiv,,,,,,,,,,,,Virtue,
ACCOLADE,Positiv,,,,,,,,,,,,Virtue,
ACCOMMODATE,Positiv,,,,,,,,,,,,,
ACCOMMODATION,Positiv,,,,,,,,,,,,Virtue,
ACCOMPANIMENT,Positiv,,,,,,,,,,,,,
ACCOMPLISH,Positiv,,,,Strong,Power,,,,,,,,
ACCOMPLISHMENT,Positiv,,,,Strong,Power,,,,,,,,
ACCORD,Positiv,,,,,Power,,,,,,,,
ACCORDANCE,Positiv,,,,,,,,,,,,,
ACCOUNTABLE,Positiv,,,,,,,,,,,,,
ACCRUE,Positiv,,,,,,,,,,,,,
ACCURACY,Positiv,,,,,,,,,,,,Virtue,
ACCURATE,Positiv,,,,,,,,,,,,Virtue,
ACCURATENESS,Positiv,,,,,,,,,,,,Virtue,
ACHIEVE,Positiv,,,,Strong,,,,,,,,,
ACHIEVEMENT,Positiv,,,,,Power,,,,,,,,
ACKNOWLEDGEMENT,Positiv,,,,,,,,,,,,,
ACQUAINT,Positiv,,,,,,,,,,,,,
ACQUAINTANCE,Positiv,,Affil,,,,,,,,,,,
ACQUIT,Positiv,,,,,,,,,,,,,
ACQUITTAL,Positiv,,,,,,,,,,,,,
ACTUAL,Positiv,,,,,,,,,,,,Virtue,
ACTUALITY,Positiv,,,,,,,,,,,,Virtue,
ADAMANT,Positiv,,,,Strong,,,,,,Arousal,,,
ADAPTABILITY,Positiv,,,,Strong,,,,,,,,Virtue,
ADAPTABLE,Positiv,,,,Strong,,,,,,,,Virtue,
ADAPTATION,Positiv,,,,Strong,,,,,,,,Virtue,
ADAPTIVE,Positiv,,,,Strong,,,,,,,,Virtue,
ADEPT,Positiv,,,,Strong,,,,,,,,Virtue,
ADEPTNESS,Positiv,,,,Strong,,,,,,,,Virtue,
ADEQUATE,Positiv,,,,,,,,,,,,Virtue,
ADHERENCE,Positiv,,Affil,,,,,,,,,,,
ADHERENT,Positiv,,Affil,,,,,,,,,,,
ADHESION,Positiv,,,,,,,,,,,,,
ADHESIVE,Positiv,,,,,,,,,,,,,
ADJUNCT,Positiv,,,,,,,,,,,,,
ADJUST,Positiv,,,,,,,,,,,,Virtue,
ADJUSTABLE,Positiv,,,,,,,,,,,,,
ADJUSTMENT,Positiv,,,,,,,,,,,,Virtue,
ADMIRABLE,Positiv,,,,,,,,,,,,Virtue,
ADMIRATION,Positiv,,,,Strong,,,Pleasur,,,,EMOT,Virtue,
ADMIRE,Positiv,,Affil,,,,,Pleasur,,,,,,
ADMIRER,Positiv,,,,Strong,,,,,,,EMOT,,
ADMIT,Positiv,,,,,,Weak,,,,,,,
ADMITTANCE,Positiv,,,,,,,,,,,,,
ADORABLE,Positiv,,,,,,,,,,,,Virtue,
ADORE,Positiv,,,,,,,Pleasur,,,,EMOT,,
ADORN,Positiv,,,,Strong,,,,,,,,,
ADORNMENT,Positiv,,,,,,,,,,,,Virtue,
ADROIT,Positiv,,,,Strong,,,,,,,,Virtue,
ADROITLY,Positiv,,,,Strong,,,,,,,,Virtue,
ADULATION,Positiv,,,,Strong,,,Pleasur,,,,EMOT,,
ADULT,Positiv,,,,Strong,,,,,,,,Virtue,
ADVANCE,Positiv,,,,Strong,,,,,,,,,
ADVANCEMENT,Positiv,,,,,,,,,,,,,
ADVANTAGE,Positiv,,,,Strong,,,,,,,,Virtue,
ADVANTAGEOUS,Positiv,,,,Strong,,,,,,,,Virtue,
ADVENT,Positiv,,,,,,,,,,,,,
ADVENTURESOME,Positiv,,,,Strong,,,,,,,,,
ADVENTUROUS,Positiv,,,,Strong,,,,,,,,,
ADVISABLE,Positiv,,,,,,,,,,,,,
ADVOCACY,Positiv,,Affil,,,,,,,,,,,
AFFABILITY,Positiv,,,,,,,,,,,,Virtue,
AFFABLE,Positiv,,,,,,,,,,,,Virtue,
AFFECTION,Positiv,,Affil,,,,,,,,Arousal,EMOT,,
AFFECTIONATE,Positiv,,Affil,,,,,,,,Arousal,EMOT,,
AFFILIATE,Positiv,,Affil,,,,,,,,,,,
AFFILIATION,Positiv,,Affil,,,,,,,,,,,
AFFINITY,Positiv,,,,Strong,,,,,,,,Virtue,
AFFIRM,Positiv,,,,Strong,Power,,,,,,,,
AFFIRMATION,Positiv,,,,,,,,,,,,,
AFFIRMATIVE,Positiv,,,,,,,,,,,,,
AFFIX,Positiv,,Affil,,,,,,,,,,,
AFFLUENCE,Positiv,,,,,,,,,,,,,
AFFLUENT,Positiv,,,,,,,,,,,,,
AFLOAT,Positiv,,,,Strong,,,,,,,,,
AGGREGATE,Positiv,,,,,,,,,,,,,
AGGREGATION,Positiv,,,,,,,,,,,,,
AGILE,Positiv,,,,Strong,,,,,,,,Virtue,
AGILITY,Positiv,,,,Strong,,,,,,,,Virtue,
AGREEABLE,Positiv,,,,,,,,,,,,,
AGREEMENT,Positiv,,Affil,,Strong,,,,,,,,,
AID,Positiv,,Affil,,Strong,,,,,,,,,
ALERTNESS,Positiv,,,,,,,,,,,,Virtue,
ALIGHT,Positiv,,,,,,,,,,,,Virtue,
ALIVE,Positiv,,,,Strong,,,,,,,,,
ALLEGIANCE,Positiv,,Affil,,,,,,,,,,Virtue,
ALLEVIATE,Positiv,,Affil,,,,,,,,,,,
ALLIANCE,Positiv,,,,Strong,Power,,,,,,,,
ALLIED,Positiv,,Affil,,Strong,,,,,,,,,
ALLIES,Positiv,,Affil,,,,,,,,,,,
ALLOW,Positiv,,,,,Power,,,,,,,,
ALLOWABLE,Positiv,,,,,,,,,,,,,
